Millis,Red,IR
1366453,59606,103038
1366504,59608,103058
1366558,59600,103036
1366614,59631,103045
1366664,59635,103057
1366717,59598,103067
1366775,59604,103053
1366823,59634,103039
1366876,59609,103068
1366935,59598,103078
1366983,59597,103074
1367036,59624,103066
1367094,59617,103063
1367142,59625,103047
1367195,59614,103051
1367255,59590,103053
1367301,59610,103053
1367354,59613,103062
1367415,59602,103058
1367461,59594,103057
1367514,59605,103066
1367574,59610,103055
1367620,59596,103033
1367673,59617,103052
1367734,59595,103046
1367779,59593,103046
1367833,59590,103049
1367895,59581,103027
1367939,59589,103024
1367992,59620,103044
1368054,59602,103036
1368098,59586,103059
1368151,59635,103064
1368214,59592,103043
1368258,59581,103049
1368311,59578,103058
1368364,59584,103041
1368417,59573,103028
1368470,59563,103036
1368523,59576,103050
1368576,59582,103042
1368629,59578,103033
1368683,59591,103043
1368736,59594,103040
1368789,59603,103034
1368842,59592,103071
1368895,59606,103066
1368948,59601,103066
1369001,59608,103055
1369054,59599,103033
1369108,59590,103045
1369161,59591,103053
1369215,59605,103045
1369267,59616,103045
1369320,59594,103037
1369374,59589,103050
1369426,59623,103066
1369479,59592,103031
1369534,59587,103044
1369586,59589,103038
1369639,59603,103042
1369695,59613,103031
1369745,59575,103057
1369798,59586,103048
1369855,59602,103043
1369904,59592,103016
1369958,59577,103051
1370016,59565,103053
1370064,59565,103073
1370117,59598,103064
1370175,59604,103061
1370223,59563,103043
1370276,59584,103069
1370335,59619,103073
1370383,59611,103047
1370436,59584,103034
1370496,59569,103036
1370542,59558,103032
1370595,59577,103042
1370655,59587,103037
1370701,59551,103033
1370754,59587,103047
1370815,59599,103048
1370861,59584,103048
1370914,59555,103052
1370976,59565,103039
1371020,59584,103051
1371073,59560,103033
1371136,59543,103024
1371179,59538,103017
1371233,59557,103036
1371295,59565,103021
1371339,59545,103024
1371392,59550,103036
1371445,59577,103031
1371498,59579,103037
1371551,59572,103037
1371604,59599,103049
1371658,59597,103053
1371711,59589,103053
1371764,59586,103060
1371817,59578,103050
1371870,59580,103037
1371923,59588,103048
1371976,59572,103031
1372029,59582,103062
1372083,59585,103052
1372136,59596,103063
1372189,59606,103055
1372242,59586,103041
1372296,59593,103046
1372348,59601,103066
1372401,59601,103073
1372456,59605,103090
1372508,59598,103064
1372561,59593,103054
1372615,59580,103051
1372667,59583,103046
1372720,59586,103043
1372776,59596,103050
1372826,59584,103045
1372879,59612,103080
1372936,59607,103020
1372986,59516,102979
1373039,59147,102498
1373095,58680,102102
1373145,58112,101659
1373198,57251,101349
1373255,56967,101255
1373304,56574,101179
1373358,56086,101225
1373416,55915,101353
1373464,55780,101444
1373517,55618,101558
1373577,55605,101550
1373623,55609,101560
1373676,55458,101543
1373737,55415,101516
1373783,55379,101480
1373836,55351,101446
1373896,55419,101435
1373942,55472,101370
1373995,55576,101290
1374057,55605,101264
1374101,55685,101289
1374154,55789,101252
1374217,55955,101133
1374261,56334,101209
1374314,57000,101361
1374376,57140,101529
1374420,57737,102187
1374473,58838,102664
1374536,59463,103675
1374579,60758,104811
1374633,61900,105059
1374686,62146,105350
1374739,62450,105539
1374792,62584,105565
1374845,62805,105667
1374898,62637,105459
1374951,61779,104347
1375004,60121,103459
1375058,59531,102948
1375111,58818,102434
1375164,58019,102140
1375217,57722,102090
1375270,57487,102045
1375323,57137,102007
1375376,56973,102012
1375429,56877,102044
1375483,56733,102063
1375537,56683,102038
1375589,56622,102051
1375642,56537,102033
1375696,56508,102004
1375748,56481,101943
1375801,56503,101856
1375856,56548,101771
1375908,56655,101717
1375961,56957,101696
1376017,57340,101812
1376067,57515,101813
1376120,58834,103117
1376176,59936,104043
1376226,60328,104057
1376279,62068,106173
1376336,63846,106733
1376386,63485,106160
1376439,63581,106509
1376497,63651,106485
1376545,63614,106654
1376598,63886,106380
1376657,62695,105154
1376704,61407,104423
1376758,59802,103043
1376816,58826,102693
1376864,58442,102584
1376917,57907,102428
1376977,57690,102414
1377023,57504,102422
1377076,57337,102432
1377137,57281,102450
1377183,57245,102447
1377236,57092,102417
1377298,57052,102384
1377342,57029,102361
1377395,57000,102263
1377457,57063,102164
1377501,57124,102083
1377554,57535,102115
1377617,57864,102259
1377661,58515,102748
1377714,60156,104259
1377778,60740,104411
1377820,61476,105914
1377873,63681,106758
1377926,62497,105832
1377979,63440,107166
1378032,64924,102313
1378086,63844,106899
1378139,64229,107144
1378192,64422,107137
1378245,64537,107334
1378298,64676,107298
1378351,64104,106192
1378404,61083,104408
1378457,60483,103711
1378511,59545,103187
1378564,58854,102974
1378618,58595,102893
1378670,58363,102842
1378723,57907,102800
1378778,57700,102812
1378829,57622,102788
1378882,57498,102761
1378937,57420,102739
1378989,57358,102739
1379042,57220,102697
1379098,57168,102681
1379148,57160,102619
1379201,57158,102503
1379258,57200,102412
1379307,57269,102312
1379361,57666,102299
1379417,57874,102360
1379467,58311,102595
1379520,59129,103656
1379578,60539,104504
1379626,61150,105141
1379679,62354,105666
1379738,62359,105714
1379786,62862,106367
1379839,63907,106795
1379897,63839,106794
1379945,63913,106747
1379998,63457,106448
1380057,63486,106583
1380104,63725,106935
1380157,64473,107196
1380218,64138,106584
1380264,63205,105921
1380317,61872,104952
1380377,61130,104169
1380423,60100,103517
1380476,59148,103230
1380537,59017,103189
1380582,58876,103155
1380636,58627,103106
1380698,58499,103047
1380742,58370,103064
1380795,58059,103074
1380859,57953,103066
1380901,57885,103056
1380954,57732,103018
1381007,57705,102935
1381061,57732,102832
1381114,57782,102702
1381167,58142,102719
1381220,58348,102731
1381273,58613,102864
1381326,59364,104107
1381379,61250,104840
1381432,60881,104178
1381486,61093,105030
1381539,61788,105199
1381592,61310,104432
1381645,62608,106016
1381699,62281,104996
1381751,61609,105629
1381804,62608,105963
1381859,63019,106299
1381911,63344,106548
1381964,64255,107253
1382018,64770,107759
1382070,65307,107943
1382123,64076,106392
1382178,62789,105548
1382229,61915,104958
1382282,60092,103633
1382339,59691,103495
1382389,59336,103362
1382442,58921,103287
1382498,58790,103268
1382548,58645,103243
1382601,58438,103260
1382658,58349,103293
1382707,58261,103316
1382761,58104,103271
