Millis,Red,IR
100023,59172,103040
100073,59171,103033
100124,59187,103023
100184,59190,103030
100226,59191,103035
100277,59171,103025
100328,59154,103024
100384,59191,103017
100431,59188,103021
100482,59170,103001
100543,59159,103001
100584,59181,103036
100635,59174,103017
100686,59153,102989
100743,59175,103007
100788,59158,103010
100839,59187,103015
100890,59160,102992
100943,59176,103012
100992,59189,103002
101043,59121,102983
101104,59155,103005
101145,59140,102976
101196,59165,102978
101247,59123,102985
101305,59107,102999
101349,59127,102975
101400,59169,102983
101451,59128,102983
101505,59130,102987
101553,59129,102978
101604,59140,102986
101664,59167,102979
101707,59142,102962
101758,59121,102957
101809,59122,102946
101864,59149,102954
101911,59162,102950
101962,59130,102950
102013,59162,102952
102064,59161,102965
102115,59156,102918
102166,59162,102944
102225,59145,102944
102268,59167,102944
102319,59142,102970
102370,59154,102920
102425,59140,102923
102472,59169,102928
102523,59161,102915
102585,59153,102913
102625,59178,102930
102676,59182,102921
102727,59185,102912
102785,59174,102918
102829,59183,102894
102881,59197,102914
102932,59196,102898
102985,59183,102900
103034,59183,102889
103085,59205,102862
103144,59204,102866
103187,59197,102867
103238,59207,102885
103289,59209,102878
103344,59222,102884
103391,59225,102888
103442,59228,102879
103493,59232,102871
103544,59237,102880
103595,59227,102852
103646,59237,102858
103705,59227,102850
103748,59244,102843
103799,59243,102862
103850,59240,102842
103904,59258,102849
103952,59270,102836
104003,59274,102822
104065,59274,102842
104106,59277,102826
104157,59274,102820
104208,59316,102822
104265,59287,102813
104310,59290,102827
104361,59284,102812
104412,59293,102791
104465,59300,102796
104514,59304,102798
104565,59300,102791
104624,59318,102785
104667,59327,102803
104718,59316,102794
104769,59311,102781
104824,59322,102768
104871,59353,102789
104922,59344,102791
104973,59331,102756
105025,59353,102748
105075,59355,102742
105126,59324,102726
105184,59351,102740
105228,59342,102752
105279,59383,102772
105331,59345,102762
105386,59353,102758
105433,59351,102749
105484,59376,102752
105545,59394,102763
105586,59359,102722
105637,59351,102726
105688,59378,102736
105745,59377,102732
105790,59386,102744
105841,59396,102706
105892,59368,102725
105945,59395,102715
105994,59365,102707
106045,59376,102707
106106,59380,102707
106147,59404,102702
106198,59371,102713
106249,59391,102700
106305,59392,102699
106351,59396,102683
106402,59375,102675
106453,59373,102661
106505,59389,102672
106555,59400,102676
106607,59400,102672
106666,59374,102657
106709,59387,102670
106760,59407,102666
106811,59411,102673
106866,59394,102672
106913,59389,102653
106964,59416,102665
107025,59406,102643
107066,59392,102610
107117,59393,102635
107168,59416,102623
107225,59405,102628
107270,59408,102651
107321,59417,102618
107372,59410,102633
107426,59410,102626
107474,59407,102635
107525,59421,102617
107585,59414,102628
107627,59427,102613
107678,59411,102630
107729,59389,102622
107785,59412,102614
107832,59407,102603
107883,59395,102599
107934,59417,102611
107985,59413,102604
108036,59415,102587
108087,59421,102596
108146,59408,102595
108189,59412,102611
108240,59417,102599
108291,59436,102597
108346,59427,102602
108393,59423,102592
108444,59404,102588
108505,59412,102575
108546,59412,102547
108597,59400,102570
108648,59409,102575
108706,59413,102561
108750,59422,102582
108801,59404,102540
108852,59404,102559
108906,59410,102583
108954,59417,102561
109005,59383,102559
109065,59400,102556
109108,59424,102540
