Millis,Red,IR
-1,-1,-1
282970,95511,118495
283023,95743,118783
283072,96097,118784
283123,96231,118965
283182,96275,119011
283225,96319,118906
283276,96088,118793
283327,96107,118816
283384,95975,118737
283429,95873,118664
283480,95650,118499
283531,95334,118482
283584,95615,118987
283633,96254,118555
283684,95611,118571
283744,95672,118659
283786,95682,118630
283837,95894,118874
283888,96034,118877
283944,96154,119022
283990,96315,118997
284042,95611,118322
284103,96051,119334
284144,96543,119088
284195,96420,119097
284246,96967,119356
284303,96579,119480
284348,97682,119749
284399,97093,119621
284450,97621,119988
284503,97866,120038
284552,97828,120112
284603,97998,120175
284664,97938,120043
284705,97943,120045
284756,97829,120059
284807,97712,119961
284863,97710,119923
284909,97567,119776
284960,97420,119789
285011,97504,119793
285063,97496,119871
285113,97661,119852
285164,97520,119737
285224,97310,119604
285267,97141,119415
285318,96718,119247
285369,96703,119303
285424,96634,119223
285471,96543,119086
285522,96333,118998
285583,96214,118974
285624,96174,118930
285675,96203,119033
285726,96331,119172
285783,96616,119384
285828,96905,119578
285879,97147,119651
285930,97444,119844
285983,97593,119999
286032,97729,119898
286083,97430,119786
286143,97339,119627
286185,97004,119449
286236,96793,119392
286287,96623,119327
286343,96696,119298
286389,96703,119494
286440,96873,119515
286491,96921,119533
286543,96931,119497
286594,96878,119489
286645,96896,119492
286704,96831,119478
286747,96858,119503
286798,96908,119507
286849,96931,119468
286904,96794,119453
286951,96837,119493
287002,96870,119505
287063,96873,119515
287104,96899,119481
287155,96779,119404
287206,96705,119411
287263,96753,119420
287308,96724,119399
287359,96697,119387
287410,96658,119355
287464,96652,119414
287512,96744,119470
287563,96944,119539
287623,96863,119513
287665,96894,119522
287716,96862,119485
287768,96744,119435
287823,96720,119375
287870,96617,119290
287921,96523,119277
287972,96575,119297
288023,96546,119315
288074,96560,119293
288125,96575,119321
288184,96638,119430
288227,96801,119530
288278,96956,119606
288329,97009,119625
288384,96974,119570
288431,96917,119579
288482,96911,119573
288543,96932,119564
288584,96865,119477
288635,96762,119451
288686,96571,119300
288744,96503,119253
288788,96475,119275
288839,96417,119208
288890,96297,119141
288944,96303,119180
288993,96338,119192
289044,96348,119260
289105,96411,119272
289146,96443,119265
289197,96479,119280
289248,96385,119240
289305,96423,119309
289350,96504,119313
289401,96486,119266
289452,96511,119313
289505,96506,119348
289554,96569,119385
289605,96522,119374
289664,96628,119404
289707,96553,119324
289758,96478,119284
289809,96625,119466
289865,96773,119557
289911,96885,119656
289962,97013,119650
290024,96954,119637
290065,96931,119611
290115,96853,119376
290166,94205,117254
290224,92681,116754
290269,91928,116531
290320,91530,118445
290371,91519,119353
290424,91266,119219
290473,91203,119142
290524,91232,119001
290585,91295,118881
290626,91315,118299
290677,91069,117156
290728,90895,116999
290785,94661,118519
290830,95713,119348
290881,97200,120261
290932,99031,120822
290985,97582,120290
291034,98590,121098
291085,97311,119023
291145,94537,117899
291187,93863,117296
291238,92278,117944
291289,92343,119466
291345,92212,119515
291391,92122,119500
291443,92063,119335
291504,92011,119033
291545,91863,118198
291596,91469,117241
291647,91839,117656
291704,95421,119229
291749,97129,120924
291800,99555,121439
291851,97551,121690
291904,100289,121921
291954,99830,121074
292005,95365,118704
292064,94902,117697
292107,92727,117763
292158,92590,119124
292209,92531,119532
292265,92469,119631
292311,92418,119657
292362,92358,119608
292413,92306,119282
292465,92141,118448
292515,91719,117546
292566,91412,116584
292624,92648,118156
292669,94896,118835
292720,96769,120844
292771,100420,122050
292824,99121,119718
292874,97873,121426
292925,99937,121785
292984,100072,121891
293028,99869,121283
293079,98258,119804
293130,95181,117952
293185,93090,117888
293232,92820,119361
293283,92758,119864
293345,92700,119849
293385,92661,119778
293436,92596,119709
293487,92478,119002
293545,92185,118078
293589,91844,117101
293640,91632,116689
293691,92914,118384
293745,96240,120635
293794,99202,121855
293845,99889,119416
293906,97135,121960
293947,100820,122304
293999,100402,121962
294051,100471,122135
294106,100264,121935
294155,100120,121986
294207,99921,121043
294266,97650,119178
294309,95459,118904
294360,94513,117828
294411,93061,119275
294465,93107,119633
294513,93056,119829
294564,92955,119990
294626,92894,119979
294666,92868,119942
294718,92845,119781
294769,92634,118841
294826,92209,117631
294871,91917,116797
294922,92645,119178
294973,95906,120121
295026,98600,121567
295075,100058,122321
295127,97387,119919
295186,98331,121295
295229,99361,121322
295280,99164,121275
295331,99269,120910
295386,97779,119818
295433,96218,118966
295484,93963,118101
295546,93318,119702
295586,93351,120067
295637,93241,120179
295688,93132,120103
295746,93069,120065
295790,93042,119980
295841,93021,119670
295893,92259,117302
295946,91974,117395
295995,94410,118636
296046,98592,121666
296105,100287,122377
296149,101388,123093
296201,101930,122098
296253,100556,122626
296306,101112,122573
296357,101288,122662
296409,101676,122639
296465,100760,121443
296513,98388,119966
296564,94980,117908
296626,93410,119496
296666,93543,120109
296718,93432,120208
296769,93313,120175
296826,93229,120110
296871,93211,120059
296922,93188,119889
296973,92614,117907
297026,92217,116905
297075,92484,118782
297126,98199,121782
297185,101495,123408
297229,102817,123196
297281,99516,120137
297332,102193,122666
297385,100920,122341
297436,101232,122490
297488,99451,120303
297546,96757,120054
297590,95990,117974
297641,93445,119022
297693,93509,120098
297746,93430,120102
297795,93394,120107
297846,93279,119946
297905,93262,119873
297948,93227,119431
297999,92889,118328
298050,92152,116777
298105,94189,119577
298152,97794,121407
298203,101025,123390
298255,100538,118941
298307,97841,122665
298358,102117,122814
298410,102187,123277
298466,102739,123442
298514,102691,123264
298566,103091,123743
298626,103283,123679
298671,103205,123800
298723,103509,123907
298775,102817,123202
298827,102329,122980
298879,102123,123017
298931,102328,123161
298986,102567,123233
299035,102222,122749
299087,101887,122812
299147,102033,122960
299191,102250,123058
299244,102283,123083
299296,102564,123270
299348,102720,123279
299400,102638,123244
299452,102668,123185
299507,102619,123216
299556,102722,123253
299608,102775,123309
299666,102907,123361
299712,102918,123321
299764,102936,123369
299826,103017,123402
299869,103054,123404
299921,103091,123466
299973,103183,123471
300026,103129,123385
300077,103040,123345
300129,102952,123293
300186,102929,123284
300233,102882,123234
300285,102745,123121
300347,102761,123150
300389,102781,123095
300441,102574,122841
300494,102095,122661
300547,102122,122711
300598,102209,122730
300650,102150,122652
300707,102091,122622
300754,102060,122639
300806,102203,122700
300867,102248,122709
300910,102224,122648
300962,102171,122646
301014,102180,122660
301066,102195,122617
301119,102168,122600
301171,102162,122557
301226,102137,122466
301275,101993,122405
301327,101879,122319
301386,101825,122291
301431,101825,122287
301483,101781,122263
301535,101760,122222
301587,101821,122317
301639,102007,122426
301691,102065,122376
301747,101999,122297
301796,101874,122237
301848,101674,122016
301907,101527,121993
301952,101615,121992
302004,101509,121878
302056,101420,121856
302108,101377,121742
302160,101243,121663
302212,101204,121654
302266,101133,121600
302316,101108,121579
